CRASH_RECORD_ID,RD_NO,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION
79c7a2ce89f446262efd86df3d72d18b04ba487024b7c42d58be7bc0ee3b2779be1916679231382b4a4bfe14200bd305d9c6feb7cd70839f863dd944b040212d,JC199149,,43549.61319,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,ONE-WAY,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",43549.63681,IMPROPER TURNING/NO SIGNAL,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,536,W,RANDOLPH ST,121,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,2,0,14,2,3,41.88454722,-87.64120094,POINT (-87.64120093714 41.884547224337)
792b539deaaad65ee5b4a9691d927a34d298eb33d42af0a7959be4395099da62f4b24dcbfb96dd89e807d30d8bc0ccabe84823aa31a2530406777899d3971f63,JB422857,,43348.36111,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",43348.375,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",FAILING TO YIELD RIGHT-OF-WAY,4821,N,ELSTON AVE,1712,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,8,4,9,41.96856245,-87.74065932,POINT (-87.740659314632 41.968562453871)
0115ade9a755e835255508463f7e9c4a9a0b47e930423859bea2b3c984a0a470949256e11226bab0f3a45397310cac3a6ba52ee3bffeed1919a56a00c98bbf9a,JF318029,,44757.03125,30,UNKNOWN,UNKNOWN,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",44757.03472,UNABLE TO DETERMINE,UNABLE TO DETERMINE,300,N,CENTRAL PARK AVE,1123,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,0,6,7,41.88633641,-87.71620313,POINT (-87.716203130599 41.886336409761)
05b1982cdba5d8a00e7e76ad1ecdab0e598429f78481d28165b5a709cdf8078fbce48f6084d152745930fae475a7a671a423ee15d40b915322c182aef23aeb5a,JF378711,,44802.47917,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",44805.47917,DISREGARDING TRAFFIC SIGNALS,NOT APPLICABLE,3939,W,79TH ST,834,Y,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,11,2,8,41.74934817,-87.72109673,POINT (-87.721096727406 41.749348170421)
017040c61958d2fa977c956b2bd2d6759ef7754496dc96f9cdbb922a318ec889baeb9a684049ef3cb2d29f05778b5ff8a1129ef8726a7d00a3f610dca33b159b,JF324552,,44757.78472,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",44762.45833,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2359,N,ASHLAND AVE,1811,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,6,7,41.92511082,-87.66799732,POINT (-87.667997321599 41.925110815832)
78eee027ec3dcc85d36c9e3fdae4729dcc56440105d65bcfd797ad092b4374885885092185cc8a59a39eed710df7b38a93154941c1a27ca5b848a7a939a8395d,JB291672,,43254.70833,30,NO CONTROLS,NO CONTROLS,CLEAR,UNKNOWN,PARKED MOTOR VEHICLE,ONE-WAY,1,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",43254.83333,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1630,N,KEELER AVE,2534,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,17,1,6,41.91075755,-87.73138875,POINT (-87.731388754145 41.910757551599)
7943cacbae1bb60e0f056bf53bdaadc0d6092000c19167b15507bf14ce2607aefb90d68858923279b49d41d08d7a552ec3f3b7e7c25c85652eaaf8cff107bd89,JF330061,,44766.80764,25,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",44766.82153,NOT APPLICABLE,NOT APPLICABLE,2817,W,61ST ST,823,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,19,1,7,41.78263884,-87.69428354,POINT (-87.694283539975 41.782638841451)
01aaa759c6bbefd0f584226fbd88bdc549de3ed1e46255aa0b5e6dd42a0a320d3ed7e7c9318d192e028cb6c3de7cec6482422061f831f5fce6c58d102b8c30ec,JF319819,,44757.71528,40,NO CONTROLS,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,ANGLE,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",44758.63889,IMPROPER LANE USAGE,NOT APPLICABLE,5100,N,LAKE SHORE DR NB,2024,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,6,7,41.97582602,-87.65041978,POINT (-87.650419778017 41.975826016449)
7b1537e0a3e166f7542afe24eefca6fcff71061433323dc293c4b1bed530d7f562dd8a1944a0576b509b2807a754f3cb9ff0403f5e02aefdc1733bb945033e9b,JA252488,,42860.54167,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE OPPOSITE DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",42860.97917,UNABLE TO DETERMINE,UNABLE TO DETERMINE,4498,W,ADDISON ST,1731,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,13,6,5,41.94633227,-87.73915685,POINT (-87.739156849826 41.946332274015)
011f2a8e3d1943e19d92862ab066becc8bcedc8e084b0ab76597287e45a604555af44e384f9abc5fe5b095ae81521611d839a6b91474c35c9a156a36d76756b8,JF408563,Y,44827.83333,24,NO CONTROLS,NO CONTROLS,UNKNOWN,UNKNOWN,PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",44828.32986,UNABLE TO DETERMINE,NOT APPLICABLE,2606,S,ST LOUIS AVE,1032,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,20,6,9,41.84414937,-87.71248896,POINT (-87.71248896045 41.844149372172)
